Description,Part Reference,Qty,Part Num,Manufacturer / Datasheet,Distributor,Notes,,,
6 wire jumper ribbon cable OR 9 wire and 6 wire,,4 OR 2 x 9c and 1x 6c,WM09-06 WM06-06 WM03-06,,Molex http://www.molex.com/pdm_docs/sd/250010606_sd.pdf,http://www.digikey.com/scripts/DkSearch/dksus.dll?Detail?name=WM06-06A-ND,,,
10 ohm 5% resistor,R186 R164,2,,,,,,,
22 ohm 5% resistor,R20 R150,2,,,,,,,
27 ohm 5% resistor,R6 R7,2,,,,,,,
100 ohm 5% resistor ,R1 R95 R130 R132 R136 R152 R16,7,,,,,,,
150 ohm 5% resistor,R16,1,,,,,,,
220 ohm 5% resistor,R13 R14 R15 R18 R19,5,,,,,,,
470 ohm 5% resistor,R12,1,,,,,,,
1K 5% resistor,R2 R17 R137 R161,4,,,,,,,
1.5K 5% resistor,R8,1,,,,,,,
1.8K 5% resistor,R179,1,,,,,,,
2.2K 5% resistor,R21 R22 R23 R24 R67 R68 R69 R70 R71 R98 R104 R107 R108 R124 R125 R126 R133 R162 R178,19,,,,,,,
4.7K 5% resistor,R9 R135,2,,,,,,,
6.8K 5% resistor,R3,1,,,,,,,
10K 5% resistor,R10 R11 R34 R36 R47 R61 R64 R65 R94 R96 R97 R101 R105 R109 R112 R115 R116 R142 R143 R144 R145 R148 R149 R157 R158 R160,54,,,,,,,
22K 5% resistor,R45 R60 R110 R111 R117 R120 R129 R134 R146 R151,10,,,,,,,
33K 5% resistor,R159,1,,,,,,,
47K 5% resistor,R46 R119 R127 R155,4,,,,,,,
68K 5% resistor,R138,1,,,,,,,
100K 5% resistor,R25 R26 R27 R28 R35 R59 R66 R72 R73 R92 R93 R99 R102 R113 R114 R118 R122 R139 R140 R141 R153 R154 R156 R165,24,,,,,,,
220K 5% resistor,R62 R63 R103 R121 R128 R131 R235 R236,8,,,,,,,
1MEG 5% resistor,R91 R200,2,,,,,,,
1.5MEG 5% resistor,R123,1,,,,,,,
2.4K 1% resistor,R5,1,,,,,,,
5.6K 1% resistor,R4,1,,,,,,,
24.0K 1% resistor,R106,1,,,,,,,
200K 1% resistor,R74 R75 R76 R77 R78 R79 R80 R81 R82 R83 R84 R85 R86 R87 R88 R89 R90,17,,,,,,,
1K PTC Thermistor,R100A R100B,2,,Microohm http://www.micro-ohm.com/temperature/temprecflm.html,LPTC12T21001,Adafruit,,,
0.1uF (104) ceramic capacitor,C1 C2 C4 C6 C103 C104 C106 C107 C108 C109 C110 C111 C112 C113 C202 C204,16,,,,,,,
1.0uF (105) tantalum capacitor,C42 C62,2,Kemet T350A105K035AT,,,,,,
